0:47:10  UPDATE dataFR SET time=1.916, owner='zzzzz' WHERE key='1029647734'
0:47:24  UPDATE dataFR SET time=2.48, owner='zzzzz' WHERE key='842843678'
0:47:32  UPDATE dataFR SET time=2.674, owner='zzzzz' WHERE key='-1295290865'
0:47:39  UPDATE dataFR SET time=2.014, owner='zzzzz' WHERE key='-308633460'
0:48:17  UPDATE dataFR SET time=1.255, owner='zzzzz' WHERE key='-1481746690'
0:48:24  UPDATE dataFR SET time=2.322, owner='zzzzz' WHERE key='-1457057524'
0:48:48  UPDATE dataFR SET time=1.811, owner='zzzzz' WHERE key='274214132'
0:49:2  UPDATE dataFR SET time=2.703, owner='zzzzz' WHERE key='-842785815'
0:49:12  UPDATE dataFR SET time=5.171, owner='zzzzz' WHERE key='-1407212733'
0:49:28  UPDATE dataFR SET time=4.634, owner='zzzzz' WHERE key='-1705221633'
0:50:14  UPDATE dataFR SET time=1.965, owner='zzzzz' WHERE key='-937615395'
0:50:21  UPDATE dataFR SET time=1.894, owner='zzzzz' WHERE key='119927239'
0:50:36  UPDATE dataFR SET time=0.923, owner='zzzzz' WHERE key='-1840880205'
0:50:52  UPDATE dataFR SET time=3.15, owner='zzzzz' WHERE key='-672114708'
0:51:43  UPDATE dataFR SET time=2.16, owner='zzzzz' WHERE key='-235224781'
0:51:51  UPDATE dataFR SET time=2.443, owner='zzzzz' WHERE key='1541984718'
0:52:50  UPDATE dataFR SET time=1.849, owner='zzzzz' WHERE key='-794374688'
0:53:7  UPDATE dataFR SET time=3.349, owner='zzzzz' WHERE key='-1219159402'
0:53:14  UPDATE dataFR SET time=2.54, owner='zzzzz' WHERE key='1201692071'
0:53:28  UPDATE dataFR SET time=1.984, owner='zzzzz' WHERE key='-1409777749'
0:53:35  UPDATE dataFR SET time=2.207, owner='zzzzz' WHERE key='-961538020'
0:53:58  UPDATE dataFR SET time=1.473, owner='zzzzz' WHERE key='-694413284'
0:54:17  UPDATE dataFR SET time=1.953, owner='zzzzz' WHERE key='-235306049'
0:54:23  UPDATE dataFR SET time=1.255, owner='zzzzz' WHERE key='-215199124'
0:54:38  UPDATE dataFR SET time=1.947, owner='zzzzz' WHERE key='1063483376'
0:54:45  UPDATE dataFR SET time=2.542, owner='zzzzz' WHERE key='-837335756'
0:55:0  UPDATE dataFR SET time=2.296, owner='zzzzz' WHERE key='1849446629'
0:55:23  UPDATE dataFR SET time=3.178, owner='zzzzz' WHERE key='1160604507'
0:55:44  UPDATE dataFR SET time=1.573, owner='zzzzz' WHERE key='1734524395'
0:56:8  UPDATE dataFR SET time=1.589, owner='zzzzz' WHERE key='1755153887'
0:56:24  UPDATE dataFR SET time=2.118, owner='zzzzz' WHERE key='-695951392'
0:56:30  UPDATE dataFR SET time=1.146, owner='zzzzz' WHERE key='-968692135'
0:56:39  UPDATE dataFR SET short='terremariebyrd', time=3.83 , owner='zzzzz' WHERE key='-742130997'
0:57:7  UPDATE dataFR SET time=1.208, owner='zzzzz' WHERE key='-275888338'
0:57:30  UPDATE dataFR SET time=2.475, owner='zzzzz' WHERE key='1648152991'
0:57:37  UPDATE dataFR SET time=1.457, owner='zzzzz' WHERE key='-1956083869'
0:57:44  UPDATE dataFR SET time=1.633, owner='zzzzz' WHERE key='-1235587233'
0:58:2  UPDATE dataFR SET time=4.347, owner='zzzzz' WHERE key='1492734262'
0:58:9  UPDATE dataFR SET time=1.661, owner='zzzzz' WHERE key='-758155998'
0:58:21  UPDATE dataFR SET time=7.176, owner='zzzzz' WHERE key='-601516895'
0:58:27  UPDATE dataFR SET time=1.297, owner='zzzzz' WHERE key='691864669'
0:58:34  UPDATE dataFR SET time=1.292, owner='zzzzz' WHERE key='1162312800'
0:58:41  UPDATE dataFR SET time=2.364, owner='zzzzz' WHERE key='-1603882357'
0:58:49  UPDATE dataFR SET time=2.78, owner='zzzzz' WHERE key='129537057'
0:58:57  UPDATE dataFR SET time=3.377, owner='zzzzz' WHERE key='1982494115'
0:59:34  UPDATE dataFR SET time=3.89, owner='zzzzz' WHERE key='-345978840'
0:59:52  UPDATE dataFR SET time=1.31, owner='zzzzz' WHERE key='1113638636'
0:59:58  UPDATE dataFR SET time=1.272, owner='zzzzz' WHERE key='1741473874'
1:0:6  UPDATE dataFR SET time=2.719, owner='zzzzz' WHERE key='592702498'
1:0:40  UPDATE dataFR SET time=1.628, owner='zzzzz' WHERE key='-1644241172'
1:0:57  UPDATE dataFR SET short='southossetia', time=5.658 , owner='zzzzz' WHERE key='-365893064'
1:1:4  UPDATE dataFR SET time=2.393, owner='zzzzz' WHERE key='1965976121'
1:1:21  UPDATE dataFR SET time=1.585, owner='zzzzz' WHERE key='1549714561'
1:1:27  UPDATE dataFR SET time=1.262, owner='zzzzz' WHERE key='1708928034'
1:1:42  UPDATE dataFR SET time=2.241, owner='zzzzz' WHERE key='216615570'
1:2:3  UPDATE dataFR SET time=1.609, owner='zzzzz' WHERE key='681819779'
1:2:9  UPDATE dataFR SET time=1.073, owner='zzzzz' WHERE key='-1122889371'
1:2:41  UPDATE dataFR SET time=3.954, owner='zzzzz' WHERE key='-1826593868'
1:2:50  UPDATE dataFR SET time=4.318, owner='zzzzz' WHERE key='768761785'
1:3:10  UPDATE dataFR SET time=1.265, owner='zzzzz' WHERE key='-2085223888'
1:3:28  UPDATE dataFR SET time=2.707, owner='zzzzz' WHERE key='-1256691282'
1:3:46  UPDATE dataFR SET time=2.727, owner='zzzzz' WHERE key='-1993331284'
1:4:9  UPDATE dataFR SET time=1.98, owner='zzzzz' WHERE key='1083605994'
1:4:38  UPDATE dataFR SET time=6.197, owner='zzzzz' WHERE key='-1446715842'
1:4:45  UPDATE dataFR SET time=1.737, owner='zzzzz' WHERE key='1378276917'
1:4:52  UPDATE dataFR SET time=2.104, owner='zzzzz' WHERE key='4676308'
1:4:59  UPDATE dataFR SET time=1.801, owner='zzzzz' WHERE key='985128050'
1:5:40  UPDATE dataFR SET time=0.86, owner='zzzzz' WHERE key='-1946738493'
