9:32:10  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-796984766','South Australia',''+NULL+'',NULL,'None')
9:32:30  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('456086803','Saint Pierre and Miquelon',''+NULL+'',NULL,'None')
9:32:48  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-596794371','Chartered Community of Navarre',''+NULL+'',NULL,'None')
9:33:6  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1313096793','Schwyz',''+NULL+'',NULL,'None')
9:33:26  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-268682159','Florida',''+NULL+'',NULL,'None')
9:33:45  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1240635727','California',''+NULL+'',NULL,'None')
9:34:4  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1603121572','South Carolina',''+NULL+'',4.496,'zzzzz')
9:34:23  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1490514603','Basque Country',''+NULL+'',NULL,'None')
9:35:27  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1945917651','Catalonia',''+NULL+'',4.749,'emmaa GW')
9:35:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1201125009','Occitania',''+NULL+'',NULL,'None')
9:36:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1848034830','Saba',''+NULL+'',NULL,'None')
9:36:27  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-258323095','Vendée','vendee',5.157,'zzzzz')
9:36:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('334713993','Provence-Alpes-Côte d'Azur','paca',2.332,'emmaa GW')
9:37:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('309450333','Molise',''+NULL+'',NULL,'None')
9:37:27  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-813009130','Schleswig-Holstein',''+NULL+'',NULL,'None')
9:37:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1589399820','Queensland',''+NULL+'',2.945,'emmaa GW')
9:38:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1979433313','Republic of Mordovia',''+NULL+'',NULL,'None')
9:38:27  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1789862797','Chuvash Republic',''+NULL+'',NULL,'None')
9:38:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-1507714958','Guam',''+NULL+'',NULL,'None')
9:39:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('596739438','Republic of North Ossetia-Alania',''+NULL+'',NULL,'None')
9:39:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-2044491953','Michigan',''+NULL+'',NULL,'None')
9:39:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-824594935','Alabama','alabama',2.082,'emmaa GW')
9:40:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1436714064','South Dakota',''+NULL+'',2.935,'emmaa GW')
9:40:27  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1404118031','Ohio','ohio',4.127,'emmaa GW')
9:40:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('814828436','Chechen Republic',''+NULL+'',NULL,'None')
9:41:28  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('735564493','Trentino-South Tyrol',''+NULL+'',NULL,'None')
9:41:47  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('1181435966','Basel-Landschaft',''+NULL+'',NULL,'None')
9:42:7  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('2029621547','Yukon','yukon',3.002,'emmaa GW')
9:42:16  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('720441018','Washington',''+NULL+'',1.802,'zzzzz')
9:42:35  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-997492806','Nunavut','nunavut',4.564,'emmaa GW')
9:42:56  NEW DATA : INSERT OR REPLACE INTO dataEN (key, value, short, time, owner) VALUES ('-902532069','Massachusetts',''+NULL+'',NULL,'None')
