10:42:3  UPDATE SHORT : UPDATE dataFR SET short='halo' WHERE key='641970392'
10:42:17  UDPATE TIME AND SHORT : UPDATE dataFR SET short='bigflooli', time=9.232 , owner='zzzzz' WHERE key='1117818792'
10:42:26  UDPATE TIME AND SHORT : UPDATE dataFR SET short='brave', time=3.572 , owner='zzzzz' WHERE key='462499815'
10:42:34  UPDATE TIME : UPDATE dataFR SET time=2.382, owner='zzzzz' WHERE key='1804103010'
10:47:44  UPDATE TIME : UPDATE dataFR SET time=7.708, owner='zzzzz' WHERE key='-692006018'
10:48:34  UPDATE SHORT : UPDATE dataFR SET short='kyle' WHERE key='-1610670599'
10:48:56  UDPATE TIME AND SHORT : UPDATE dataFR SET short='onceuponatimeinhollywood', time=6.001 , owner='zzzzz' WHERE key='-1004486003'
10:49:3  UDPATE TIME AND SHORT : UPDATE dataFR SET short='fap', time=1.729 , owner='zzzzz' WHERE key='-26956438'
10:49:46  UDPATE TIME AND SHORT : UPDATE dataFR SET short='grandbleu', time=5.279 , owner='zzzzz' WHERE key='128497360'
10:49:55  UDPATE TIME AND SHORT : UPDATE dataFR SET short='celine', time=4.872 , owner='zzzzz' WHERE key='214456011'
10:50:8  UDPATE TIME AND SHORT : UPDATE dataFR SET short='tresorderackhamrouge', time=5.814 , owner='zzzzz' WHERE key='1906289412'
10:50:32  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('324612201','La Vénus de Milo','venusdemilo',3.694,'zzzzz')
10:51:48  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1389284499','Collatéral',''+NULL+'',NULL,'None')
10:55:15  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1804696469','Emilia-Romagna',''+NULL+'',NULL,'None')
10:55:35  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('64600782','Christmas Island',''+NULL+'',4.158,'emmaa GW')
10:55:55  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('504790675','Komi Republic','komi',2.678,'emmaa GW')
10:56:15  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1546182805','Béarn',''+NULL+'',NULL,'None')
10:56:36  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-902532069','Massachusetts',''+NULL+'',10.606,'emmaa GW')
10:56:55  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1822669530','Andalusia',''+NULL+'',5.005,'emmaa GW')
10:57:15  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-294316314','Lombardy',''+NULL+'',3.525,'emmaa GW')
10:57:35  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('487427423','Calabria',''+NULL+'',NULL,'None')
10:57:55  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-907951110','Mississippi',''+NULL+'',7.372,'emmaa GW')
10:58:15  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1302137140','Sicily','sicily',4.945,'emmaa GW')
10:58:35  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1116032883','Saint-Gall',''+NULL+'',NULL,'None')
10:58:55  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1727399983','Marche',''+NULL+'',NULL,'None')
10:59:15  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-300459703','Kentucky',''+NULL+'',11.623,'emmaa GW')
10:59:35  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1898760171','Brussels-Capital Region',''+NULL+'',5.961,'emmaa GW')
10:59:55  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1068467204','Obwalden',''+NULL+'',NULL,'None')
11:0:15  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1257223696','Aargau',''+NULL+'',NULL,'None')
11:0:35  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('648766193','Alsace',''+NULL+'',NULL,'None')
11:3:11  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('720441018','Washington',''+NULL+'',2.208,'zzzzz')
11:3:32  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('359968041','Lazio',''+NULL+'',NULL,'None')
11:3:52  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1327552116','Alberta',''+NULL+'',NULL,'None')
11:4:32  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1436714064','South Dakota',''+NULL+'',NULL,'None')
11:4:52  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1719380923','Galicia',''+NULL+'',NULL,'None')
11:5:12  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-172877726','Hauts-de-France',''+NULL+'',NULL,'None')
11:5:31  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1069761295','Newfoundland and Labrador',''+NULL+'',NULL,'None')
11:6:12  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1490514603','Basque Country',''+NULL+'',NULL,'None')
11:6:35  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-78218746','Pennsylvania',''+NULL+'',NULL,'None')
11:6:52  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-16845787','Liguria',''+NULL+'',NULL,'None')
11:7:12  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-597503096','Nevada',''+NULL+'',NULL,'None')
11:7:31  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1703654606','Glarus',''+NULL+'',NULL,'None')
11:7:52  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1114111083','Bourgogne-Franche-Comté',''+NULL+'',NULL,'None')
11:8:11  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1349837773','Utrecht',''+NULL+'',NULL,'None')
11:8:31  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1923689610','Neuchâtel',''+NULL+'',NULL,'None')
11:8:53  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-1204236445','Missouri',''+NULL+'',NULL,'None')
11:9:11  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('1181435966','Basel-Landschaft',''+NULL+'',NULL,'None')
11:9:32  NEW DATA : INSERT OR REPLACE INTO dataFR (key, value, short, time, owner) VALUES ('-385394886','Republic of Ingushetia',''+NULL+'',NULL,'None')
